ID_DOCTO;ID_CONTRIB;VLR_DOCTO;DT_INC
11110000;11118211182;113.72;2020-01-01
11110001;11129211292;498.89;2020-01-01
11110002;11126911269;81.26;2020-01-01
11110003;11128111281;471.74;2020-02-02
11110004;11129111291;473.91;2020-02-02
11110005;11120411204;350.69;2020-02-02
11110006;11129911299;501.55;2020-02-02
11110007;11119911199;428.94;2020-02-02
11110008;11113211132;477.56;2020-02-02
11110009;11127111271;578.32;2020-02-02
11110010;11114111141;838.77;2020-02-02
11110011;11110811108;777.46;2020-02-02
11110012;11110311103;237.36;2020-02-07
11110013;11122411224;572.98;2020-02-07
11110014;11121511215;548.79;2020-02-07
11110015;11123811238;173.35;2020-02-07
11110016;11111711117;227.76;2020-02-07
11110017;11111211112;374.77;2020-02-07
11110018;11114611146;136.23;2020-02-12
11110019;11128711287;583.90;2020-02-12
11110020;11122911229;622.97;2020-02-12
11110021;11119411194;384.96;2020-02-12
11110022;11122411224;97.78;2020-02-12
11110023;11127311273;346.63;2020-02-12
11110024;11122911229;784.82;2020-02-17
11110025;11116911169;69.39;2020-02-17
11110026;11115511155;526.43;2020-02-17
11110027;11114311143;675.96;2020-02-17
11110028;11125611256;775.46;2020-02-17
11110029;11126611266;919.17;2020-02-17
11110030;11110411104;757.28;2020-02-22
11110031;11124011240;904.32;2020-02-22
11110032;11121911219;784.55;2020-02-22
11110033;11127711277;974.70;2020-02-22
11110034;11118911189;359.76;2020-02-22
11110035;11123311233;751.96;2020-02-22
11110036;11117611176;398.22;2020-02-27
11110037;11112511125;929.78;2020-02-27
11110038;11122111221;620.94;2020-02-27
11110039;11116611166;347.81;2020-02-27
11110040;11126411264;574.75;2020-02-27
11110041;11126311263;162.96;2020-02-27
11110042;11126311263;620.95;2020-03-03
11110043;11124911249;729.31;2020-03-03
11110044;11110911109;335.08;2020-03-03
11110045;11120611206;586.30;2020-03-03
11110046;11126011260;685.23;2020-03-03
11110047;11111211112;528.80;2020-03-03
11110048;11124711247;896.17;2020-03-05
11110049;11115311153;664.30;2020-03-05
11110050;11122311223;195.39;2020-03-05
11110051;11128411284;828.46;2020-03-08
11110052;11129811298;711.63;2020-03-08
11110053;11123211232;994.54;2020-03-08
11110054;11113111131;618.11;2020-03-08
11110055;11111011110;593.75;2020-03-08
11110056;11114411144;787.72;2020-03-08
11110057;11120211202;282.84;2020-03-13
11110058;11115711157;823.57;2020-03-13
11110059;11111811118;949.10;2020-03-13
11110060;11110711107;552.75;2020-03-13
11110061;11125011250;977.96;2020-03-13
11110062;11111711117;607.58;2020-03-13
11110063;11122311223;626.18;2020-03-18
11110064;11116811168;730.71;2020-03-18
11110065;11123811238;394.27;2020-03-18
11110066;11110711107;18.46;2020-03-18
11110067;11128411284;184.13;2020-03-18
11110068;11120411204;152.12;2020-03-18
11110069;11111711117;975.37;2020-03-23
11110070;11120811208;453.88;2020-03-23
11110071;11121911219;175.43;2020-03-23
11110072;11110611106;872.45;2020-03-23
11110073;11119111191;260.44;2020-03-23
11110074;11126511265;972.53;2020-03-23
11110075;11119711197;642.10;2020-03-28
11110076;11120711207;620.63;2020-03-28
11110077;11116811168;187.88;2020-03-28
11110078;11120411204;744.18;2020-03-28
11110079;11119711197;56.99;2020-03-28
11110080;11123211232;336.98;2020-03-28
11110081;11110311103;129.02;2020-04-02
11110082;11127411274;921.00;2020-04-02
11110083;11114411144;381.95;2020-04-02
11110084;11120211202;438.36;2020-04-02
11110085;11124111241;28.54;2020-04-02
11110086;11117711177;525.19;2020-04-02
11110087;11110211102;54.81;2020-04-06
11110088;11115111151;917.88;2020-04-06
11110089;11119511195;406.76;2020-04-06
11110090;11128211282;667.50;2020-04-07
11110091;11127811278;440.33;2020-04-07
11110092;11116111161;881.49;2020-04-07
11110093;11118311183;294.64;2020-04-07
11110094;11114711147;95.10;2020-04-07
11110095;11111011110;227.07;2020-04-07
11110096;11119111191;728.01;2020-04-12
11110097;11121911219;184.46;2020-04-12
11110098;11124911249;103.50;2020-04-12
11110099;11118211182;435.56;2020-04-12
11110100;11124711247;834.18;2020-04-12
11110101;11127611276;756.53;2020-04-12
11110102;11120111201;175.12;2020-04-17
11110103;11112911129;147.26;2020-04-17
