ID_VEICULO;ID_CONTRIB;COD_SIT_DETRAN;ANO_FABR;COD_MARCA;COD_TIPO_COMBUST;COD_PROCEDENCIA
1000000;11125611256;2;2021;1003;5;1
1000001;11117011170;4;2012;1000;5;1
1000002;11111411114;2;2004;1005;2;2
1000003;11111111111;2;2008;1000;3;2
1000004;11113011130;3;2011;1002;4;2
1000005;11126911269;2;2016;1005;2;2
1000006;11124811248;2;2017;1009;4;2
1000007;11113711137;3;2018;1005;3;1
1000008;11121111211;4;2004;1010;5;1
1000009;11112311123;2;2000;1000;4;1
1000010;11121211212;4;2006;1009;2;2
1000011;11126411264;4;2003;1000;4;2
1000012;11111011110;3;2010;1002;1;1
1000013;11114911149;2;2014;1004;4;1
1000014;11124411244;4;2019;1010;4;2
1000015;11128511285;2;2000;1005;1;2
1000016;11124611246;3;2015;1005;4;2
1000017;11128611286;2;2005;1006;1;2
1000018;11127111271;4;2002;1007;1;1
1000019;11129611296;2;2018;1010;1;1
1000020;11116811168;2;2022;1007;2;1
1000021;11114811148;3;2009;1000;1;2
1000022;11120911209;2;2015;1001;1;2
1000023;11122711227;2;2016;1002;1;1
1000024;11114011140;2;2003;1008;3;2
1000025;11110811108;2;2021;1005;2;1
1000026;11120511205;3;2009;1000;5;1
1000027;11118011180;3;2002;1002;3;2
1000028;11126311263;3;2022;1004;4;2
1000029;11112111121;2;2010;1006;3;1
1000030;11111711117;2;2012;1002;1;1
1000031;11110511105;3;2005;1006;4;2
1000032;11120411204;2;2021;1004;1;2
1000033;11120111201;2;2012;1008;3;1
1000034;11118611186;2;2002;1006;2;1
1000035;11121011210;4;2003;1007;5;1
1000036;11127511275;2;2022;1007;3;1
1000037;11126211262;4;2007;1000;2;2
1000038;11119711197;2;2006;1008;4;2
1000039;11115111151;2;2013;1005;4;1
1000040;11111811118;2;2006;1008;1;2
1000041;11123011230;2;2003;1006;5;1
1000042;11115611156;3;2017;1010;1;1
1000043;11111311113;3;2008;1005;5;2
1000044;11116211162;3;2013;1002;5;1
1000045;11126811268;2;2006;1004;3;1
1000046;11127811278;2;2005;1001;4;2
