ID_VEICULO;ANO_FABR;NOME_MARCA;DESCR_COMBUST;NOME_CONTRIB;NOME_MUNICIPIO;QUANT_NF;VLR_FIPE;VLR_IPVA_BRUTO;DESC_BOM_CID;VLR_IPVA_LIQUIDO
1000000;2021;BMW 3 Series ;Eletrico;Josiane Cola�o Gomes;Pedra Branca;16;86350,77;3454,03;172,70;3281,33
1000001;2012;Toyota Camry ;Eletrico;Giovana Terezinha Cruz Fontes de Godoy;Estrelada;13;27000,45;1080,02;32,40;1047,62
1000002;2004;Volkswagen Golf ;Gasolina;Leonardo Ronaldo de Chaves Neto;Monteverde;16;27810,62;00,00;00,00;00,00
1000003;2008;Toyota Camry ;Diesel;Henrique Camacho de Galindo;Pedra Branca;8;21000,99;00,00;00,00;00,00
1000004;2011;Honda Civic ;Hibrido;Aurelio Vinicius Azevedo de Alves;Floresta Serena;11;34850,98;1394,04;41,82;1352,22
1000005;2016;Volkswagen Golf ;Gasolina;Julieta Campos de Paula;Valeflor ;18;67650,61;2706,02;135,30;2570,72
1000006;2017;Subaru Impreza ;Hibrido;Juan Mateus de Leon;Pedra Branca;25;74426,01;2977,04;148,85;2828,19
1000007;2018;Volkswagen Golf ;Diesel;Simone Susan Galindo Gusmao de Morais;Floresta Serena;18;74290,09;2971,60;148,58;2823,02
1000008;2004;Jeep Wrangler ;Eletrico;Anderson Medina Padilha;Serenopolis;12;20980,93;00,00;00,00;00,00
1000009;2000;Toyota Camry ;Hibrido;Helena D'avila de Martines;Monteverde;12;9000,82;00,00;00,00;00,00
1000010;2006;Subaru Impreza ;Gasolina;Dante Fagner Duarte de Muniz;Monteverde;10;31768,37;00,00;00,00;00,00
1000011;2003;Toyota Camry ;Hibrido;Cleuza Ursula Carrara;Valeflor ;14;13500,49;00,00;00,00;00,00
1000012;2010;Honda Civic ;Alcool;Ricardo Wagner Carrara;Valeflor ;16;32300,72;00,00;00,00;00,00
1000013;2014;Chevrolet Silverado ;Hibrido;Diego Mario Carmona Perez;Monteverde;16;32418,39;1296,74;64,84;1231,90
1000014;2019;Jeep Wrangler ;Hibrido;Ingrid Estrada Mascarenhas;Aurora;21;67030,35;2681,21;134,06;2547,15
1000015;2000;Volkswagen Golf ;Alcool;Evandro Mascarenhas de Pinheiro;Estrelada;12;14530,61;00,00;00,00;00,00
1000016;2015;Volkswagen Golf ;Hibrido;Hercules Gomes de Bezerra;Pedra Branca;15;64330,33;2573,21;77,20;2496,02
1000017;2005;Nissan Altima ;Alcool;Demilson Ferreira;Pedra Branca;12;22800,71;00,00;00,00;00,00
1000018;2002;Audi A4 ;Alcool;Joao Leandro Aragao Filho;Valeflor ;18;14991,70;00,00;00,00;00,00
1000019;2018;Jeep Wrangler ;Alcool;M�nica Queiros de Santacruz;Serenopolis;21;63960,60;2558,42;127,92;2430,50
1000020;2022;Audi A4 ;Gasolina;Tomas Gilmar D'avila Jr.;Serenopolis;16;69671,19;2786,85;139,34;2647,51
1000021;2009;Toyota Camry ;Alcool;Francisco Dominato de Marin;Estrelada;16;22500,23;00,00;00,00;00,00
1000022;2015;Ford Mustang ;Alcool;Ashley Medina Montenegro;Pedra Branca;12;41500,05;1660,00;49,80;1610,20
1000023;2016;Honda Civic ;Alcool;Iago Barros de Mello;Estrelada;16;47600,78;1904,03;95,20;1808,83
1000024;2003;Mercedes-Benz C-Class ;Diesel;Andre Ricardo Aranda de Gimenes;Pedra Branca;9;19320,20;00,00;00,00;00,00
1000025;2021;Volkswagen Golf ;Gasolina;Natal Camacho de Galvao;Serenopolis;10;84250,79;3370,03;33,70;3336,33
1000026;2009;Toyota Camry ;Eletrico;Micaela Padilha;Pedra Branca;14;22500,23;00,00;00,00;00,00
1000027;2002;Honda Civic ;Diesel;Luara Norma Casanova Feliciano;Serenopolis;18;11900,17;00,00;00,00;00,00
1000028;2022;Chevrolet Silverado ;Hibrido;Everaldo Campos;Floresta Serena;18;45354,88;1814,20;90,71;1723,49
1000029;2010;Nissan Altima ;Diesel;Mia Dominato de Fraga;Monteverde;18;33100,56;00,00;00,00;00,00
1000030;2012;Honda Civic ;Alcool;Lilian Mares Klein;Estrelada;18;37400,46;1496,02;74,80;1421,22
1000031;2005;Nissan Altima ;Hibrido;Catarina Tainara de Mares;Valeflor ;11;22800,71;00,00;00,00;00,00
1000032;2021;Chevrolet Silverado ;Alcool;Josilda Galhardo Maia;Pedra Branca;14;43737,08;1749,48;52,48;1697,00
1000033;2012;Mercedes-Benz C-Class ;Diesel;Mario Ricardo Ferminiano de Guerra;Serenopolis;18;38940,91;1557,64;77,88;1479,75
1000034;2002;Nissan Altima ;Gasolina;Const�ncia Dara Escobar Maldonado de Moura;Floresta Serena;6;16620,71;00,00;00,00;00,00
1000035;2003;Audi A4 ;Eletrico;Christie Esteves Paim;Floresta Serena;11;17725,43;00,00;00,00;00,00
1000036;2022;Audi A4 ;Diesel;Denis Wally Bittencourt Martines da Costa;Pedra Branca;15;69671,19;2786,85;83,61;2703,24
1000037;2007;Toyota Camry ;Gasolina;Arilda Camacho de Aguiar;Aurora;19;19500,79;00,00;00,00;00,00
1000038;2006;Mercedes-Benz C-Class ;Hibrido;Suzana Brito de Barbosa;Serenopolis;14;25860,73;00,00;00,00;00,00
1000039;2013;Volkswagen Golf ;Hibrido;Inacio Leopoldo Correia;Monteverde;15;57690,98;2307,64;69,23;2238,41
1000040;2006;Mercedes-Benz C-Class ;Alcool;Humberto Esteves de Queiros;Valeflor ;18;25860,73;00,00;00,00;00,00
1000041;2003;Nissan Altima ;Eletrico;Batista Fagner Corona;Pedra Branca;15;18680,67;00,00;00,00;00,00
1000042;2017;Jeep Wrangler ;Alcool;Giovana Brito de Barros;Aurora;17;60890,74;2435,63;121,78;2313,85
1000043;2008;Volkswagen Golf ;Eletrico;Aaron Santiago Beltrao Benites;Monteverde;16;41090,44;00,00;00,00;00,00
1000044;2013;Honda Civic ;Eletrico;Beatriz Pena de Antunes;Pedra Branca;12;39950,57;1598,02;47,94;1550,08
1000045;2006;Chevrolet Silverado ;Diesel;Catarina Campos;Monteverde;13;19482,81;00,00;00,00;00,00
